event_name,overlap_percentage
GW190720_000836,100.0
GW200208_130117,100.0
GW230811_032116,94.79
GW190521_074359,91.28
GW230825_041334,91.15
GW231005_021030,86.49
GW230922_040658,82.56
GW190727_060333,77.78
GW230624_113103,74.88
GW190930_133541,71.38
GW231118_005626,68.75
GW190828_065509,68.68
GW190707_093326,68.35
GW230609_064958,67.99
GW190513_205428,67.44
GW230729_082317,67.36
GW230927_043729,67.2
GW200302_015811,65.58
GW190910_112807,65.46
GW231004_232346,65.04
GW230605_065343,63.9
GW231206_233134,63.39
GW230708_230935,62.42
GW191215_223052,62.34
GW190512_180714,61.73
GW190828_063405,60.43
GW190517_055101,59.41
GW230608_205047,59.26
GW230824_033047,58.86
GW231223_075055,56.67
GW231018_233037,56.22
GW190725_174728,55.34
GW190929_012149,55.29
GW190803_022701,54.55
GW150914,54.48
GW190408_181802,53.75
GW190926_050336,50.45
GW230723_101834,48.63
GW200308_173609,47.96
GW230820_212515,47.75
GW200316_215756,46.83
GW191109_010717,46.29
GW230805_034249,44.59
GW231118_090602,44.22
GW191113_071753,43.27
GW230924_124453,43.08
GW151012,42.45
GW170823,42.31
GW230803_033412,41.37
GW230831_015414,40.89
GW230702_185453,40.87
GW231014_040532,40.3
GW231029_111508,39.91
GW240109_050431,38.28
GW231113_122623,38.16
GW230920_071124,38.15
GW230914_111401,38.04
GW200208_222617,37.31
GW230930_110730,36.97
GW200306_093714,36.97
GW191127_050227,36.81
GW231223_202619,36.56
GW231114_043211,36.29
GW151226,35.21
GW230904_051013,35.0
GW190421_213856,34.81
GW190519_153544,34.13
GW230706_104333,33.41
GW191216_213338,33.2
GW200112_155838,32.67
GW191222_033537,32.52
GW200128_022011,31.6
GW231119_075248,31.25
GW240104_164932,30.98
GW231129_081745,30.94
GW200216_220804,30.78
GW231001_140220,30.63
GW231005_091549,29.64
GW200322_091133,29.26
GW230709_122727,29.11
GW230819_171910,29.08
GW231224_024321,28.84
GW231110_040320,28.51
GW190731_140936,28.03
GW231118_071402,27.91
GW230606_004305,27.2
GW190426_190642,27.19
GW231223_032836,27.18
GW230630_125806,27.08
GW231230_170116,27.02
GW231102_071736,26.92
GW231008_142521,26.41
GW240107_013215,26.03
GW230927_153832,26.01
GW230707_124047,25.52
GW230601_224134,24.93
GW230704_212616,23.89
GW200220_124850,23.75
GW230814_061920,22.18
GW190925_232845,22.02
GW230919_215712,21.71
GW230726_002940,21.15
GW190514_065416,20.93
GW230806_204041,20.72
GW231231_154016,20.63
GW200225_060421,20.47
GW231127_165300,20.28
GW191204_171526,19.84
GW170729,19.03
GW230814_230901,18.93
GW231113_200417,18.89
GW230911_195324,18.84
GW230928_215827,18.57
GW230704_021211,17.91
GW190620_030421,17.8
GW200220_061928,16.75
GW191103_012549,16.41
GW191204_110529,16.19
GW230708_053705,15.84
GW231221_135041,15.83
GW200129_065458,14.88
GW170608,14.5
GW191126_115259,14.07
GW230712_090405,14.06
GW190602_175927,13.5
GW231020_142947,13.38
GW231108_125142,12.71
GW190413_134308,12.03
GW230630_234532,10.87
GW231213_111417,9.57
GW170104,9.16
GW190527_092055,8.56
GW190728_064510,8.35
GW231104_133418,7.17
GW231226_101520,5.81
GW190403_051519,5.6
GW191230_180458,5.3
GW190706_222641,4.61
GW230627_015337,3.37
GW190708_232457,2.9
GW191129_134029,2.33
GW231028_153006,1.79
GW190719_215514,1.33
GW230628_231200,1.15
GW230731_215307,0.45
GW190630_185205,0.38
GW190521,0.24
GW190916_200658,0.1
GW231123_135430,0.04
GW170809,0.01
GW200209_085452,0.01
GW191105_143521,0.01
GW190503_185404,0.01
GW190805_211137,0.0
GW200202_154313,0.0
GW231206_233901,0.0
GW190924_021846,0.0
GW170818,0.0
GW190701_203306,0.0
GW200224_222234,0.0
GW190413_052954,0.0
GW170814,0.0
GW230922_020344,0.0
GW200311_115853,0.0
GW190915_235702,0.0
GW190412,0.0
GW200219_094415,0.0
